Date,AAPL,AMZN,GLD,GOOG,MSFT,XOM
2023-08-23,181.1199951171875,135.52000427246094,177.88999938964844,133.2100067138672,327.0,107.1500015258789
2023-08-24,176.3800048828125,131.83999633789062,177.85000610351562,130.4199981689453,319.9700012207031,106.3499984741211
2023-08-25,178.61000061035156,133.25999450683594,177.6199951171875,130.69000244140625,322.9800109863281,108.25
2023-08-28,180.19000244140625,133.13999938964844,178.1300048828125,131.7899932861328,323.70001220703125,109.16000366210938
2023-08-29,184.1199951171875,134.91000366210938,179.8699951171875,135.49000549316406,328.4100036621094,109.80999755859375
2023-08-30,187.64999389648438,135.07000732421875,180.32000732421875,136.92999267578125,328.7900085449219,110.87999725341797
2023-08-31,187.8699951171875,138.00999450683594,180.02000427246094,137.35000610351562,327.760009765625,111.19000244140625
2023-09-01,189.4600067138672,138.1199951171875,180.11000061035156,136.8000030517578,328.6600036621094,113.5199966430664
2023-09-05,189.6999969482422,137.27000427246094,178.63999938964844,136.7100067138672,333.54998779296875,113.52999877929688
2023-09-06,182.91000366210938,135.36000061035156,177.8300018310547,135.3699951171875,332.8800048828125,114.51000213623047
2023-09-07,177.55999755859375,137.85000610351562,178.02000427246094,136.1999969482422,329.9100036621094,113.94999694824219
2023-09-08,178.17999267578125,138.22999572753906,178.0800018310547,137.1999969482422,334.2699890136719,115.61000061035156
2023-09-11,179.36000061035156,143.10000610351562,178.41000366210938,137.74000549316406,337.94000244140625,114.16000366210938
2023-09-12,176.3000030517578,141.22999572753906,177.49000549316406,136.07000732421875,331.7699890136719,117.48999786376953
2023-09-13,174.2100067138672,144.85000610351562,177.0800018310547,137.5,336.05999755859375,116.44000244140625
2023-09-14,175.74000549316406,144.72000122070312,177.1699981689453,138.99000549316406,338.70001220703125,118.5199966430664
2023-09-15,175.00999450683594,140.38999938964844,178.33999633789062,138.3000030517578,330.2200012207031,116.69999694824219
2023-09-18,177.97000122070312,139.97999572753906,179.38999938964844,138.9600067138672,329.05999755859375,117.63999938964844
2023-09-19,179.07000732421875,137.6300048828125,179.22000122070312,138.8300018310547,328.6499938964844,117.33000183105469
2023-09-20,175.49000549316406,135.2899932861328,179.35000610351562,134.58999633789062,320.7699890136719,116.4000015258789
2023-09-21,173.92999267578125,129.3300018310547,178.0500030517578,131.36000061035156,319.5299987792969,114.76000213623047
2023-09-22,174.7899932861328,129.1199951171875,178.6199951171875,131.25,317.010009765625,114.94000244140625
2023-09-25,176.0800018310547,131.27000427246094,177.6999969482422,132.1699981689453,317.5400085449219,116.2300033569336
2023-09-26,171.9600067138672,125.9800033569336,176.27999877929688,129.4499969482422,312.1400146484375,116.41000366210938
2023-09-27,170.42999267578125,125.9800033569336,174.10000610351562,131.4600067138672,312.7900085449219,120.19999694824219
2023-09-28,170.69000244140625,125.9800033569336,173.22999572753906,133.1300048828125,313.6400146484375,119.47000122070312
2023-09-29,171.2100067138672,127.12000274658203,171.4499969482422,131.85000610351562,315.75,117.58000183105469
2023-10-02,173.75,129.4600067138672,169.64999389648438,135.1699981689453,321.79998779296875,115.62999725341797
2023-10-03,172.39999389648438,124.72000122070312,169.16000366210938,133.3000030517578,313.3900146484375,115.83000183105469
2023-10-04,173.66000366210938,127.0,169.13999938964844,136.27000427246094,318.9599914550781,111.5
2023-10-05,174.91000366210938,125.95999908447266,168.8300018310547,135.99000549316406,319.3599853515625,108.98999786376953
2023-10-06,177.49000549316406,127.95999908447266,169.6999969482422,138.72999572753906,327.260009765625,107.16999816894531
2023-10-09,178.99000549316406,128.25999450683594,172.82000732421875,139.5,329.82000732421875,110.91999816894531
2023-10-10,178.38999938964844,129.47999572753906,172.52999877929688,139.1999969482422,328.3900146484375,110.44999694824219
2023-10-11,179.8000030517578,131.8300018310547,173.7899932861328,141.6999969482422,332.4200134277344,106.48999786376953
2023-10-12,180.7100067138672,132.3300018310547,173.25999450683594,140.2899932861328,331.1600036621094,106.47000122070312
2023-10-13,178.85000610351562,129.7899932861328,178.8300018310547,138.5800018310547,327.7300109863281,109.87000274658203
2023-10-16,178.72000122070312,132.5500030517578,177.9600067138672,140.49000549316406,332.6400146484375,109.94999694824219
2023-10-17,177.14999389648438,131.47000122070312,178.2899932861328,140.99000549316406,332.05999755859375,111.38999938964844
2023-10-18,175.83999633789062,128.1300048828125,180.8699951171875,139.27999877929688,330.1099853515625,112.94999694824219
2023-10-19,175.4600067138672,128.39999389648438,183.08999633789062,138.97999572753906,331.32000732421875,113.0199966430664
2023-10-20,172.8800048828125,125.16999816894531,183.58999633789062,136.74000549316406,326.6700134277344,111.08000183105469
2023-10-23,173.0,126.55999755859375,182.97000122070312,137.89999389648438,329.32000732421875,109.44999694824219
2023-10-24,173.44000244140625,128.55999755859375,182.9499969482422,140.1199951171875,330.5299987792969,108.38999938964844
2023-10-25,171.10000610351562,121.38999938964844,183.72000122070312,126.66999816894531,340.6700134277344,108.58999633789062
2023-10-26,166.88999938964844,119.56999969482422,184.00999450683594,123.44000244140625,327.8900146484375,107.5999984741211
2023-10-27,168.22000122070312,127.73999786376953,186.14999389648438,123.4000015258789,329.80999755859375,105.55000305175781
2023-10-30,170.2899932861328,132.7100067138672,185.10000610351562,125.75,337.30999755859375,105.87999725341797
2023-10-31,170.77000427246094,133.08999633789062,184.08999633789062,125.30000305175781,338.1099853515625,105.8499984741211
2023-11-01,173.97000122070312,137.0,183.50999450683594,127.56999969482422,346.07000732421875,105.63999938964844
2023-11-02,177.57000732421875,138.07000732421875,184.1199951171875,128.5800018310547,348.32000732421875,109.11000061035156
